24 мар. 2026 23:26:47,610 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:47,610 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:47,622 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:47,658 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:47,672 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:47,701 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:47,710 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:47,739 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:47,747 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:47,777 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:47,792 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:47,794 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:47,795 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:49,407 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:49,412 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:49,413 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:49,417 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:49,419 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:49,426 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:49,428 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:49,448 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:50,032 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:50,037 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:50,039 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:50,046 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:50,285 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:50,287 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:50,289 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:50,294 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:50,318 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:50,383 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 9776, Current connections count : 2
24 мар. 2026 23:26:50,444 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 5256, Current connections count : 2
24 мар. 2026 23:26:50,833 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 9220, Time : 124, Current connections count : 3
24 мар. 2026 23:26:50,852 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 9220, Current connections count : 3
24 мар. 2026 23:26:55,515 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 5256, Current connections count : 3
